Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
OPTICAL CABLE CORP,0001000230,OCC,,10-K,2014-12-19,edgar/data/1000230/0001437749-14-022335.txt
WALT DISNEY CO/,0001001039,,,10-K,2014-11-19,edgar/data/1001039/0001001039-14-000228.txt
GEOSPACE TECHNOLOGIES CORP,0001001115,GEOS,,10-K,2014-11-21,edgar/data/1001115/0001564590-14-005894.txt
INTERNET AMERICA INC,0001001279,,,10-K,2014-10-08,edgar/data/1001279/0001144204-14-060181.txt
"LEARNING TREE INTERNATIONAL, INC.",0001002037,,,10-K,2014-12-18,edgar/data/1002037/0001437749-14-022308.txt
"Nuance Communications, Inc.",0001002517,,,10-K,2014-11-28,edgar/data/1002517/0001002517-14-000049.txt
STAR GAS PARTNERS LP,0001002590,SGU,,10-K,2014-12-10,edgar/data/1002590/0001193125-14-439000.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,MSM,,10-K,2014-10-29,edgar/data/1003078/0001003078-14-000013.txt
HEADWATERS INC,0001003344,,,10-K,2014-11-18,edgar/data/1003344/0001047469-14-009290.txt
BARNWELL INDUSTRIES INC,0000010048,BRN,,10-K,2014-12-18,edgar/data/10048/0001104659-14-087562.txt
TYSON FOODS INC,0000100493,TSN,,10-K,2014-11-17,edgar/data/100493/0000100493-14-000220.txt
CONCIERGE TECHNOLOGIES INC,0001005101,MGLD,,10-K,2014-10-10,edgar/data/1005101/0001354488-14-005065.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,SPH,,10-K,2014-11-26,edgar/data/1005210/0001193125-14-426338.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,,,10-K,2014-12-24,edgar/data/1005276/0001005276-14-000014.txt
UGI UTILITIES INC,0000100548,,,10-K,2014-11-28,edgar/data/100548/0000100548-14-000020.txt
IDT CORP,0001005731,IDT,,10-K,2014-10-14,edgar/data/1005731/0001213900-14-007233.txt
"PURE BIOSCIENCE, INC.",0001006028,PURE,,10-K,2014-10-28,edgar/data/1006028/0001193125-14-385128.txt
BROCADE COMMUNICATIONS SYSTEMS INC,0001009626,,,10-K,2014-12-19,edgar/data/1009626/0001009626-14-000183.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,FDS,,10-K,2014-10-30,edgar/data/1013237/0001437749-14-019084.txt
"SIRONA DENTAL SYSTEMS, INC.",0001014507,,,10-K,2014-11-21,edgar/data/1014507/0001571049-14-006714.txt
UNITED REFINING CO,0000101462,,,10-K,2014-11-21,edgar/data/101462/0001193125-14-421650.txt
DIGITAL CREATIVE DEVELOPMENT CORP,0001016951,,,10-K,2014-10-14,edgar/data/1016951/0001471242-14-000375.txt
ROFIN SINAR TECHNOLOGIES INC,0001019361,,,10-K,2014-12-01,edgar/data/1019361/0001019361-14-000040.txt
UNITED NATURAL FOODS INC,0001020859,UNFI,,10-K,2014-10-01,edgar/data/1020859/0001020859-14-000183.txt
"JV GROUP, INC.",0001021917,AWCA,,10-K,2014-10-07,edgar/data/1021917/0001072588-14-000102.txt
"Atrinsic, Inc.",0001022899,PTIXW,,10-K,2014-10-14,edgar/data/1022899/0001144204-14-060987.txt
"StemGen, Inc.",0001023198,,,10-K,2014-10-14,edgar/data/1023198/0001477932-14-005385.txt
SIMULATIONS PLUS INC,0001023459,SLP,,10-K,2014-11-28,edgar/data/1023459/0001019687-14-004531.txt
NATIONAL HOLDINGS CORP,0001023844,,,10-K,2014-12-29,edgar/data/1023844/0001437749-14-022691.txt
ROCKWELL AUTOMATION INC,0001024478,ROK,,10-K,2014-11-18,edgar/data/1024478/0001024478-14-000031.txt
VALSPAR CORP,0000102741,,,10-K,2014-12-22,edgar/data/102741/0000897101-14-001866.txt
KMG CHEMICALS INC,0001028215,,,10-K,2014-10-28,edgar/data/1028215/0001193125-14-385305.txt
MOBILE AREA NETWORKS INC,0001029454,,,10-K,2014-10-06,edgar/data/1029454/0001437749-14-017974.txt
SONIC FOUNDRY INC,0001029744,,,10-K,2014-12-17,edgar/data/1029744/0001193125-14-445355.txt
MAXIMUS INC,0001032220,MMS,,10-K,2014-11-17,edgar/data/1032220/0001047469-14-009278.txt
LOGITECH INTERNATIONAL SA,0001032975,LOGI,,10-K,2014-11-13,edgar/data/1032975/0001047469-14-009167.txt
VILLAGE SUPER MARKET INC,0000103595,VLGEA,,10-K,2014-10-08,edgar/data/103595/0001096906-14-001399.txt
UNITED REFINING CO /PA/,0001040270,,,10-K,2014-11-21,edgar/data/1040270/0001193125-14-421650.txt
Sutor Technology Group LTD,0001041177,,,10-K,2014-12-15,edgar/data/1041177/0001144204-14-074017.txt
PRICESMART INC,0001041803,PSMT,,10-K,2014-10-30,edgar/data/1041803/0001041803-14-000053.txt
WALGREEN CO,0000104207,,,10-K,2014-10-20,edgar/data/104207/0000104207-14-000104.txt
"China Precision Steel, Inc.",0001044577,,,10-K,2014-10-14,edgar/data/1044577/0001493152-14-003323.txt
KIANTONE PIPELINE CO,0001045539,,,10-K,2014-11-21,edgar/data/1045539/0001193125-14-421650.txt
KWIK FIL INC,0001045540,,,10-K,2014-11-21,edgar/data/1045540/0001193125-14-421650.txt
KWIK FILL CORP,0001045541,,,10-K,2014-11-21,edgar/data/1045541/0001193125-14-421650.txt
UNITED JET CENTER INC,0001045542,,,10-K,2014-11-21,edgar/data/1045542/0001193125-14-421650.txt
BELL OIL CORP,0001045543,,,10-K,2014-11-21,edgar/data/1045543/0001193125-14-421650.txt
PPC INC,0001045544,,,10-K,2014-11-21,edgar/data/1045544/0001193125-14-421650.txt
SUPER TEST PETROLEUM INC,0001045545,,,10-K,2014-11-21,edgar/data/1045545/0001193125-14-421650.txt
VULCAN ASPHALT REFINING CORP,0001045546,,,10-K,2014-11-21,edgar/data/1045546/0001193125-14-421650.txt
INDEPENDENT GASOLINE & OIL CO OF ROCHESTER,0001045547,,,10-K,2014-11-21,edgar/data/1045547/0001193125-14-421650.txt
LIVEDEAL INC,0001045742,LIVE,,10-K,2014-12-29,edgar/data/1045742/0001019687-14-004834.txt
"SecureAlert, Inc.",0001045942,TRCK,,10-K,2014-12-18,edgar/data/1045942/0001415889-14-003914.txt
TIMBERLAND BANCORP INC,0001046050,TSBK,,10-K,2014-12-11,edgar/data/1046050/0000939057-14-000522.txt
WASHINGTON GAS LIGHT CO,0000104819,,,10-K,2014-11-21,edgar/data/104819/0001193125-14-422013.txt
INTEGRATED ELECTRICAL SERVICES INC,0001048268,IESC,,10-K,2014-12-12,edgar/data/1048268/0001193125-14-440606.txt
F5 NETWORKS INC,0001048695,FFIV,,10-K,2014-11-26,edgar/data/1048695/0001445305-14-005262.txt
"WSI INDUSTRIES, INC.",0000104897,,,10-K,2014-10-24,edgar/data/104897/0001437749-14-018782.txt
NUTRACEUTICAL INTERNATIONAL CORP,0001050007,,,10-K,2014-11-20,edgar/data/1050007/0001047469-14-009431.txt
WD 40 CO,0000105132,WDFC,,10-K,2014-10-21,edgar/data/105132/0000105132-14-000025.txt
MARINEMAX INC,0001057060,HZO,,10-K,2014-12-11,edgar/data/1057060/0001193125-14-440112.txt
GENEREX BIOTECHNOLOGY CORP,0001059784,,,10-K,2014-10-03,edgar/data/1059784/0001607062-14-000128.txt
PEREGRINE INDUSTRIES INC,0001061164,,,10-K,2014-10-14,edgar/data/1061164/0000791182-14-000006.txt
PULASKI FINANCIAL CORP,0001062438,,,10-K,2014-12-12,edgar/data/1062438/0001104659-14-086407.txt
CONCUR TECHNOLOGIES INC,0001066026,,,10-K,2014-11-18,edgar/data/1066026/0001066026-14-000019.txt
RGC RESOURCES INC,0001069533,RGCO,,10-K,2014-12-12,edgar/data/1069533/0001193125-14-440747.txt
STERLING BANCORP,0001070154,,,10-K,2014-11-28,edgar/data/1070154/0001070154-14-000047.txt
"NEW ENERGY TECHNOLOGIES, INC.",0001071840,WNDW,,10-K,2014-11-14,edgar/data/1071840/0001477932-14-006182.txt
YUMMIES INC,0001073748,,,10-K,2014-12-17,edgar/data/1073748/0001096906-14-001725.txt
WINNEBAGO INDUSTRIES INC,0000107687,WGO,,10-K,2014-10-28,edgar/data/107687/0000107687-14-000048.txt
"Bio-Matrix Scientific Group, Inc.",0001079282,,,10-K,2014-12-29,edgar/data/1079282/0001607062-14-000217.txt
BECTON DICKINSON & CO,0000010795,BDX,,10-K,2014-11-26,edgar/data/10795/0001193125-14-426571.txt
V Media Corp,0001080627,,,10-K,2014-10-14,edgar/data/1080627/0001079973-14-000523.txt
UONLIVE CORP,0001081834,KUBR,,10-K,2014-11-21,edgar/data/1081834/0001437749-14-021249.txt
UONLIVE CORP,0001081834,KUBR,,10-K,2014-11-24,edgar/data/1081834/0001437749-14-021310.txt
"Woodward, Inc.",0000108312,WWD,,10-K,2014-11-12,edgar/data/108312/0000108312-14-000037.txt
SUNRISE REAL ESTATE GROUP INC,0001083490,SRRE,,10-K,2014-12-16,edgar/data/1083490/0001144204-14-074196.txt
"Flux Power Holdings, Inc.",0001083743,FLUX,,10-K,2014-10-07,edgar/data/1083743/0001144204-14-059936.txt
American Security Resources Corp.,0001085069,,,10-K,2014-11-05,edgar/data/1085069/0001354488-14-005416.txt
UNI CORE HOLDINGS CORP,0001088312,,,10-K,2014-10-14,edgar/data/1088312/0001354488-14-005081.txt
AGILENT TECHNOLOGIES INC,0001090872,A,,10-K,2014-12-22,edgar/data/1090872/0001090872-14-000045.txt
HARBINGER GROUP INC.,0000109177,SPB,,10-K,2014-11-21,edgar/data/109177/0000109177-14-000040.txt
SYCAMORE NETWORKS INC,0001092367,,,10-K,2014-10-27,edgar/data/1092367/0001193125-14-383387.txt
"Franchise Holdings International, Inc.",0001096275,WKSP,,10-K,2014-12-19,edgar/data/1096275/0001477932-14-007174.txt
"Myriad Interactive Media, Inc.",0001096555,,,10-K,2014-10-22,edgar/data/1096555/0001551163-14-000291.txt
OXIS INTERNATIONAL INC,0000109657,GTBP,,10-K,2014-11-18,edgar/data/109657/0001513160-14-000064.txt
SaviCorp,0001096637,,,10-K,2014-11-06,edgar/data/1096637/0001019687-14-004084.txt
ENERGIZER HOLDINGS INC,0001096752,EPC,,10-K,2014-11-18,edgar/data/1096752/0001096752-14-000141.txt
"DubLi, Inc.",0001097792,,,10-K,2014-12-24,edgar/data/1097792/0001213900-14-009119.txt
DESTINY MEDIA TECHNOLOGIES INC,0001099369,DSNY,,10-K,2014-11-24,edgar/data/1099369/0001062993-14-006877.txt
