Company Name,CIK,Form Type,Date Filed,Filename
WALT DISNEY CO/,0001001039,10-K,2010-11-24,edgar/data/1001039/0001193125-10-268910.txt
OYO GEOSPACE CORP,0001001115,10-K,2010-12-10,edgar/data/1001115/0001193125-10-277978.txt
ASTA FUNDING INC,0001001258,10-K,2010-12-14,edgar/data/1001258/0000950123-10-113541.txt
NORTHWEST PIPE CO,0001001385,10-K,2010-11-04,edgar/data/1001385/0001193125-10-248322.txt
LEARNING TREE INTERNATIONAL INC,0001002037,10-K,2010-12-09,edgar/data/1002037/0001193125-10-277495.txt
"Nuance Communications, Inc.",0001002517,10-K,2010-11-29,edgar/data/1002517/0000950123-10-109408.txt
STAR GAS PARTNERS LP,0001002590,10-K,2010-12-09,edgar/data/1002590/0001193125-10-277488.txt
FIRST AMERICAN SCIENTIFIC CORP \NV\,0001002822,10-K,2010-10-12,edgar/data/1002822/0001002014-10-000686.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,10-K,2010-10-22,edgar/data/1003078/0001144204-10-055172.txt
HEADWATERS INC,0001003344,10-K,2010-11-19,edgar/data/1003344/0001193125-10-265182.txt
ALTIGEN COMMUNICATIONS INC,0001003607,10-K,2010-12-13,edgar/data/1003607/0001144204-10-066140.txt
BARNWELL INDUSTRIES INC,0000010048,10-K,2010-12-15,edgar/data/10048/0001104659-10-062792.txt
TYSON FOODS INC,0000100493,10-K,2010-11-22,edgar/data/100493/0001193125-10-265708.txt
CONCIERGE TECHNOLOGIES INC,0001005101,10-K,2010-10-08,edgar/data/1005101/0001354488-10-003132.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,10-K,2010-11-24,edgar/data/1005210/0000950123-10-108484.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,10-K,2010-12-29,edgar/data/1005276/0001193125-10-290274.txt
UGI UTILITIES INC,0000100548,10-K,2010-11-19,edgar/data/100548/0000950123-10-107440.txt
"EURO GROUP OF COMPANIES, INC.",0001005663,10-K,2010-11-19,edgar/data/1005663/0001108890-10-000125.txt
IDT CORP,0001005731,10-K,2010-10-28,edgar/data/1005731/0001193125-10-239862.txt
PURE BIOSCIENCE,0001006028,10-K,2010-10-28,edgar/data/1006028/0001079973-10-001145.txt
"Golden Elephant Glass Technology, Inc.",0001006384,10-K,2010-12-22,edgar/data/1006384/0001204459-10-003207.txt
BROCADE COMMUNICATIONS SYSTEMS INC,0001009626,10-K,2010-12-17,edgar/data/1009626/0001193125-10-283359.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,10-K,2010-10-29,edgar/data/1013237/0001193125-10-241170.txt
ATSI COMMUNICATIONS INC/DE,0001014052,10-K,2010-10-08,edgar/data/1014052/0001144204-10-053064.txt
"SIRONA DENTAL SYSTEMS, INC.",0001014507,10-K,2010-11-18,edgar/data/1014507/0001193125-10-264018.txt
UNITED REFINING CO,0000101462,10-K,2010-11-29,edgar/data/101462/0001193125-10-270324.txt
"NEWPORT DIGITAL TECHNOLOGIES, INC.",0001019216,10-K,2010-10-13,edgar/data/1019216/0001091818-10-000454.txt
ROFIN SINAR TECHNOLOGIES INC,0001019361,10-K,2010-11-30,edgar/data/1019361/0000930413-10-005871.txt
ROTATE BLACK INC,0001020477,10-K,2010-11-08,edgar/data/1020477/0001354488-10-003400.txt
"ASPI, INC.",0001021917,10-K,2010-10-12,edgar/data/1021917/0001072588-10-000282.txt
COMPETITIVE TECHNOLOGIES INC,0000102198,10-K,2010-10-27,edgar/data/102198/0001360865-10-000114.txt
SIMULATIONS PLUS INC,0001023459,10-K,2010-11-29,edgar/data/1023459/0001019687-10-004248.txt
NATIONAL HOLDINGS CORP,0001023844,10-K,2010-12-29,edgar/data/1023844/0001437749-10-004601.txt
ROCKWELL AUTOMATION INC,0001024478,10-K,2010-11-18,edgar/data/1024478/0000950123-10-106922.txt
VALSPAR CORP,0000102741,10-K,2010-12-21,edgar/data/102741/0000897101-10-002469.txt
KMG CHEMICALS INC,0001028215,10-K,2010-10-14,edgar/data/1028215/0000950123-10-093224.txt
HYPERVIEW LTD.,0001028536,10-K,2010-10-21,edgar/data/1028536/0001140361-10-041856.txt
"Spectrum Brands, Inc.",0001028985,10-K,2010-12-14,edgar/data/1028985/0001193125-10-280275.txt
RALCORP HOLDINGS INC /MO,0001029506,10-K,2010-11-29,edgar/data/1029506/0000950123-10-109405.txt
SONIC FOUNDRY INC,0001029744,10-K,2010-11-22,edgar/data/1029744/0001193125-10-266525.txt
NOTIFY TECHNOLOGY CORP,0001031980,10-K,2010-12-21,edgar/data/1031980/0001144204-10-067444.txt
MAXIMUS INC,0001032220,10-K,2010-11-19,edgar/data/1032220/0001104659-10-059380.txt
KEYNOTE SYSTEMS INC,0001032761,10-K,2010-12-10,edgar/data/1032761/0000950123-10-112664.txt
VILLAGE SUPER MARKET INC,0000103595,10-K,2010-10-12,edgar/data/103595/0001096906-10-001278.txt
WNC HOUSING TAX CREDIT FUND VI LP SERIES 5,0001036500,10-K,2010-11-03,edgar/data/1036500/0001084067-10-000127.txt
WNC HOUSING TAX CREDIT FUND VI LP SERIES 5,0001036500,10-K,2010-11-03,edgar/data/1036500/0001084067-10-000135.txt
XSUNX INC,0001039466,10-K,2010-12-29,edgar/data/1039466/0001144204-10-068743.txt
UNITED REFINING CO /PA/,0001040270,10-K,2010-11-29,edgar/data/1040270/0001193125-10-270324.txt
APOLO GOLD & ENERGY INC.,0001040721,10-K,2010-10-12,edgar/data/1040721/0001079973-10-001079.txt
PRICESMART INC,0001041803,10-K,2010-11-09,edgar/data/1041803/0001041803-10-000041.txt
WALGREEN CO,0000104207,10-K,2010-10-26,edgar/data/104207/0000104207-10-000098.txt
TRB SYSTEMS INTERNATIONAL INC,0001042610,10-K,2010-10-13,edgar/data/1042610/0001042610-10-000006.txt
"Iron Eagle Group, Inc.",0001043825,10-K,2010-10-13,edgar/data/1043825/0001014897-10-000169.txt
TIER TECHNOLOGIES INC,0001045150,10-K,2010-11-22,edgar/data/1045150/0001045150-10-000053.txt
