Company Name,CIK,Form Type,Date Filed,Filename
GREEN ENERGY GROUP INC.,0001000459,10-K,2012-07-16,edgar/data/1000459/0001000459-12-000013.txt
GREEN ENERGY GROUP INC.,0001000459,10-K,2012-08-14,edgar/data/1000459/0001000459-12-000021.txt
ESTEE LAUDER COMPANIES INC,0001001250,10-K,2012-08-17,edgar/data/1001250/0001104659-12-058698.txt
INTERNET AMERICA INC,0001001279,10-K,2012-09-28,edgar/data/1001279/0001144204-12-053433.txt
PERICOM SEMICONDUCTOR CORP,0001001426,10-K,2012-08-31,edgar/data/1001426/0001145443-12-001030.txt
ASTROTECH Corp \WA\,0001001907,10-K,2012-09-28,edgar/data/1001907/0001515971-12-000327.txt
OPEN TEXT CORP,0001002638,10-K,2012-08-10,edgar/data/1002638/0001002638-12-000011.txt
TWIN DISC INC,0000100378,10-K,2012-09-13,edgar/data/100378/0000100378-12-000058.txt
PATAPSCO BANCORP INC,0001003961,10-K,2012-09-25,edgar/data/1003961/0001144204-12-052913.txt
LANDEC CORP \CA\,0001005286,10-K,2012-08-08,edgar/data/1005286/0001437749-12-007975.txt
EVOLUTION PETROLEUM CORP,0001006655,10-K,2012-09-13,edgar/data/1006655/0001104659-12-063322.txt
CONSUMERS BANCORP INC /OH/,0001006830,10-K,2012-09-21,edgar/data/1006830/0001144204-12-052405.txt
JDA SOFTWARE GROUP INC,0001006892,10-K,2012-08-06,edgar/data/1006892/0001006892-12-000035.txt
UNIFI INC,0000100726,10-K,2012-08-30,edgar/data/100726/0001437749-12-009028.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,10-K,2012-09-13,edgar/data/1010470/0000939057-12-000275.txt
AdvanSource Biomaterials Corp,0001011060,10-K,2012-07-11,edgar/data/1011060/0001011060-12-000018.txt
INTEGRAL TECHNOLOGIES INC,0001018281,10-K,2012-09-28,edgar/data/1018281/0001140361-12-041899.txt
"INTERNET INFINITY, INC.",0001020302,10-K,2012-07-06,edgar/data/1020302/0001493152-12-000732.txt
ROTATE BLACK INC,0001020477,10-K,2012-08-14,edgar/data/1020477/0001354488-12-004231.txt
UNITED NATURAL FOODS INC,0001020859,10-K,2012-09-26,edgar/data/1020859/0001047469-12-009112.txt
OPLINK COMMUNICATIONS INC,0001022225,10-K,2012-09-14,edgar/data/1022225/0001022225-12-000017.txt
"SCHIFF NUTRITION INTERNATIONAL, INC.",0001022368,10-K,2012-08-14,edgar/data/1022368/0001022368-12-000032.txt
AMASYS CORP,0001023198,10-K,2012-09-10,edgar/data/1023198/0001308411-12-000112.txt
MOBILE AREA NETWORKS INC,0001029454,10-K,2012-09-19,edgar/data/1029454/0001471242-12-001306.txt
TRC COMPANIES INC /DE/,0000103096,10-K,2012-09-12,edgar/data/103096/0001515316-12-000063.txt
GLOBECOMM SYSTEMS INC,0001031028,10-K,2012-09-13,edgar/data/1031028/0001193125-12-390965.txt
SENESCO TECHNOLOGIES INC,0001035354,10-K,2012-09-28,edgar/data/1035354/0001144204-12-053462.txt
FIRST NATIONAL COMMUNITY BANCORP INC,0001035976,10-K,2012-08-10,edgar/data/1035976/0001104659-12-056978.txt
OSI SYSTEMS INC,0001039065,10-K,2012-08-13,edgar/data/1039065/0001047469-12-008174.txt
NETSOL TECHNOLOGIES INC,0001039280,10-K,2012-09-05,edgar/data/1039280/0001171843-12-003317.txt
"AgriVest Americas, Inc.",0001039757,10-K,2012-09-13,edgar/data/1039757/0001144204-12-051146.txt
AEHR TEST SYSTEMS,0001040470,10-K,2012-08-28,edgar/data/1040470/0001354488-12-004623.txt
APOLO GOLD & ENERGY INC.,0001040721,10-K,2012-09-28,edgar/data/1040721/0001079973-12-000766.txt
Sutor Technology Group LTD,0001041177,10-K,2012-09-14,edgar/data/1041177/0001144204-12-051430.txt
NET 1 UEPS TECHNOLOGIES INC,0001041514,10-K,2012-08-23,edgar/data/1041514/0001062993-12-003216.txt
DRUCKER INC,0001042053,10-K,2012-09-19,edgar/data/1042053/0001137171-12-000380.txt
