cik;name;ticker;found
0000014930;BRUNSWICK CORP;BC-PC;True
0000015288;"BULLION MONARCH MINING, INC.";;False
0000015357;CHASE GENERAL CORP;;False
0000015393;BUREAU OF NATIONAL AFFAIRS INC;;False
0000015511;BNSF RAILWAY CO;;False
0000015615;MASTEC INC;MTZ;True
0000015847;BUTLER NATIONAL CORP;BUKS;False
0000016040;CABOT CORP;CBT;True
0000016058;CACI INTERNATIONAL INC /DE/;CACI;True
0000016099;LUB LIQUIDATING TRUST;;True
0000016104;CAGLES INC;;True
0000016160;CAL-MAINE FOODS INC;CALM;True
0000016614;CAMCO FINANCIAL CORP;;True
0000016732;CAMPBELL SOUP CO;CPB;True
0000016873;NEXEN INC;;True
0000016875;CANADIAN PACIFIC RAILWAY LTD/CN;CP;True
0000016918;"CONSTELLATION BRANDS, INC.";STZ;True
0000017313;CAPITAL SOUTHWEST CORP;CSWC;True
0000017485;"LIBERATOR MEDICAL HOLDINGS, INC.";;True
0000017797;"DUKE ENERGY PROGRESS, LLC.";;False
0000017843;CARPENTER TECHNOLOGY CORP;CRS;True
0000017927;CARROLS CORP;;False
0000018061;CASCADE CORP;;True
0000018169;DOLE FOOD CO INC;;True
0000018172;A. M. Castle & Co.;;True
0000018230;CATERPILLAR INC;CAT;True
0000018255;CATO CORP;CATO;True
0000018349;SYNOVUS FINANCIAL CORP;;True
0000018396;CDI CORP;;True
0000018498;GENESCO INC;GCO;True
0000018647;CENTRAL HUDSON GAS & ELECTRIC CORP;;False
0000018651;CENTRAL ILLINOIS LIGHT CO;;False
0000018654;Ameren Illinois Co;AILIP;False
0000018672;CLECO POWER LLC;;False
0000018808;CENTRAL VERMONT PUBLIC SERVICE CORP;;True
0000018886;WOLVERINE HOLDING CORP.;;False
0000018926;"Lumen Technologies, Inc.";LUMN;True
0000018937;CERADYNE INC;;True
0000019002;"Cybrdi, Inc.";;False
0000019149;CHAMPION INDUSTRIES INC;;True
0000019353;CHARMING SHOPPES INC;;True
0000019411;MAGELLAN HEALTH INC;;True
0000019446;CANTEL MEDICAL CORP;;True
0000019520;CHATTEM INC;;False
0000019584;CHEMED CORP;CHE;True
0000019612;TCF FINANCIAL CORP;;True
0000019617;JPMORGAN CHASE & CO;VYLD;True
0000019745;CHESAPEAKE UTILITIES CORP;CPK;True
0000019871;CHICAGO RIVET & MACHINE CO;CVR;True
0000020171;CHUBB CORP;;True
0000020212;Churchill Downs Inc;CHDN;True
0000020232;ChyronHego Corp;;True
0000020286;CINCINNATI FINANCIAL CORP;CINF;True
0000020290;"Duke Energy Ohio, Inc.";;False
0000020520;"Frontier Communications Parent, Inc.";;True
0000020629;CSS INDUSTRIES INC;;True
0000020639;AmBase Corp;ABCP;False
0000020740;CLARCOR INC.;;True
0000020947;CLEVELAND ELECTRIC ILLUMINATING CO;;False
0000021076;CLOROX CO /DE/;CLX;True
0000021175;CNA FINANCIAL CORP;CNA;True
0000021212;COACHMEN INDUSTRIES INC;;False
0000021239;COASTAL CARIBBEAN OILS & MINERALS LTD;;False
0000021344;COCA COLA CO;KO;True
0000021510;COHERENT INC;;True
0000021535;COHU INC;COHU;True
0000021665;COLGATE PALMOLIVE CO;CL;True
0000021828;"CCOM Group, Inc.";;False
0000022198;COLUMBUS SOUTHERN POWER CO /OH/;;False
0000022252;COMARCO INC;;True
0000022356;COMMERCE BANCSHARES INC /MO/;CBSH;True
0000022444;COMMERCIAL METALS Co;CMC;True
0000022551;TRI VALLEY CORP;;True
0000022606;COMMONWEALTH EDISON Co;;False
0000022701;Pineapple Energy Inc.;SUNE;True
0000022767;TEXAS NEW MEXICO POWER CO;;False
0000022872;"Advanzeon Solutions, Inc.";;False
0000023082;COMPUTER SCIENCES CORP;;False
0000023111;COMPUTER TASK GROUP INC;;True
0000023194;COMSTOCK RESOURCES INC;CRK;True
0000023197;COMTECH TELECOMMUNICATIONS CORP /DE/;CMTL;True
0000023217;CONAGRA BRANDS INC.;CAG;True
0000023341;CONGOLEUM CORP;;False
0000023426;CONNECTICUT LIGHT & POWER CO;CNLHN;False
0000023503;CONOLOG CORP;;True
0000023632;CONSOLIDATED EDISON CO OF NEW YORK INC;;False
0000023666;Hillshire Brands Co;;True
0000023675;Con-way Inc.;;True
0000023795;"CTO Realty Growth, Inc.";CTO-PA;True
0000024090;"CITIZENS, INC.";CIA;True
0000024104;CONTINENTAL MATERIALS CORP;;True
0000024491;COOPER TIRE & RUBBER CO;;True
0000024545;MOLSON COORS BEVERAGE CO;TAP-A;True
0000024741;CORNING INC /NY;GLW;True
0000024751;CORNING NATURAL GAS CORP;;False
0000025212;COURIER Corp;;True
0000025232;COUSINS PROPERTIES INC;CUZ;True
0000025354;CPI CORP;;True
0000025445;"Crane Holdings, Co.";CXT;True
0000025475;CRAWFORD & CO;CRD-B;True
0000025598;ONEMAIN FINANCE CORP;;False
0000025600;SPRINGLEAF FINANCE INC;;False
0000025743;"TherapeuticsMD, Inc.";TXMD;True
0000025793;CROSS A T CO;;True
0000025895;CROWN CRAFTS INC;CRWS;True
0000026058;CTS CORP;CTS;True
0000026076;CUBIC CORP /DE/;;True
0000026172;CUMMINS INC;CMI;True
0000026324;CURTISS WRIGHT CORP;CW;True
0000026780;DANA INC;DAN;True
0000026820;PHOENIX FOOTWEAR GROUP INC;;True
0000027093;U.S. GOLD CORP.;USAU;True
0000027367;DAXOR CORP;DXR;True
0000027419;TARGET CORP;TGT;True
0000027430;DAYTON POWER & LIGHT CO;;False
0000027613;DECORATOR INDUSTRIES INC;;True
0000027673;DEERE JOHN CAPITAL CORP;;False
0000027748;DGT Holdings Corp.;;False
0000027879;DELMARVA POWER & LIGHT CO /DE/;;False
0000027904;"DELTA AIR LINES, INC.";DAL;True
0000027960;QSGI INC.;;False
0000027996;DELUXE CORP;DLX;True
0000028146;HYDRON TECHNOLOGIES INC;;False
0000028367;"Cogo Group, Inc.";;False
0000028385;DTE Electric Co;;False
0000028412;COMERICA INC /NEW/;CMA-PB;True
0000028561;DEWEY ELECTRONICS CORP;;False
0000028823;"DIEBOLD NIXDORF, Inc";DBD;True
0000028917;"DILLARD'S, INC.";DDT;True
0000029002;DIODES INC /DEL/;DIOD;True
0000029006;DIONICS INC;;False
0000029071;DISCOVERY OIL LTD;;False
0000029332;DIXIE GROUP INC;DXYN;True
0000029504;OMEGA COMMERCIAL FINANCE CORP;;False
0000029534;DOLLAR GENERAL CORP;DG;True
0000029644;DONALDSON Co INC;DCI;True
0000029669;RR Donnelley & Sons Co;;True
0000029806;CONSTAR INTERNATIONAL INC;;True
0000029834;Escalera Resources Co.;;True
0000029905;DOVER Corp;DOV;True
0000029915;DOW CHEMICAL CO /DE/;;False
0000029952;"CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.";;False
0000029989;OMNICOM GROUP INC.;OMC;True
0000030140;LASERCARD CORP;;True
0000030302;ALCO STORES INC;;True
0000030305;DUCOMMUN INC /DE/;DCO;True
0000030371;"Duke Energy Carolinas, LLC";;False
0000030419;DEX ONE Corp;;False
0000030554;"EIDP, Inc.";CTA-PA;True
0000030625;FLOWSERVE CORP;FLS;True
0000030697;Wendy's Co;WEN;True
0000030822;DYNAMICS RESEARCH CORP;;True
0000030828;COBRA ELECTRONICS CORP;;True
0000030831;DYNASIL CORP OF AMERICA;;True
0000031107;EASTERN CO;EML;True
0000031235;EASTMAN KODAK CO;KODK;True
0000031277;EATON CORP;;False
0000031347;ECHELON CORP;;True
0000031462;ECOLAB INC.;ECL;True
0000031667;EDUCATIONAL DEVELOPMENT CORP;EDUC;True
0000031704;TWENTY SERVICES INC;;False
0000031791;PERKINELMER INC;RVTY;True
0000031978;EL PASO ELECTRIC CO /TX/;;True
0000031986;EL PASO NATURAL GAS CO;;False
0000032166;ELECTRO RENT CORP;;True
0000032198;EMS TECHNOLOGIES INC;;True
0000032567;EMERGE HEALTH INTERNATIONAL INC;;False
0000032604;EMERSON ELECTRIC CO;EMR;True
0000032621;EMERSON RADIO CORP;MSN;True
0000032689;EMPIRE DISTRICT ELECTRIC CO;;True
0000032776;EMPIRE STATE BUILDING ASSOCIATES L.L.C.;;False
0000032878;ENERGY CONVERSION DEVICES INC;;True
0000033002;"ENNIS, INC.";EBF;True
0000033113;ENVIRONMENTAL TECTONICS CORP;;False
0000033185;EQUIFAX INC;EFX;True
0000033213;EQT Corp;EQT;True
0000033488;ESCALADE INC;ESCA;True
0000033533;ESPEY MFG & ELECTRONICS CORP;ESP;True
0000033619;ESTERLINE TECHNOLOGIES CORP;;True
0000033769;BOB EVANS FARMS INC;;True
0000033992;"KINGSTONE COMPANIES, INC.";KINS;True
0000034067;DMC Global Inc.;BOOM;True
0000034088;EXXON MOBIL CORP;XOM;True
0000034115;CLAIRES STORES INC;;False
0000034151;JO-ANN STORES INC;;True
0000034285;RELIABILITY INC;RLBY;False
0000034408;FAMILY DOLLAR STORES INC;;True
0000034563;FARMER BROTHERS CO;FARM;True
0000034782;1ST SOURCE CORP;SRCE;True
0000034903;FEDERAL REALTY INVESTMENT TRUST;FRT-PC;True
0000034956;"TENAX THERAPEUTICS, INC.";TENX;True
0000035214;FERRO CORP;;True
0000035527;FIFTH THIRD BANCORP;FITBM;True
0000036029;FIRST FINANCIAL BANKSHARES INC;FFIN;True
0000036047;"CORELOGIC, INC.";;True
0000036104;US BANCORP \DE\;USB-PQ;True
0000036146;TRUSTMARK CORP;TRMK;True
0000036270;M&T BANK CORP;MTB-PK;True
0000036369;FIRST HARTFORD CORP;;False
0000036377;"FIRST HAWAIIAN, INC.";FHB;True
0000036506;MACKINAC FINANCIAL CORP /MI/;;True
0000036840;FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY;FREVS;False
0000036966;FIRST HORIZON CORP;FHN-PF;True
0000037008;Winthrop Realty Liquidating Trust;;True
0000037049;FIRST WEST VIRGINIA BANCORP INC;;True
0000037472;FLEXSTEEL INDUSTRIES INC;FLXS;True
0000037634;FLORIDA POWER & LIGHT CO;;False
0000037637;"DUKE ENERGY FLORIDA, LLC.";;False
0000037748;MASSEY ENERGY CO;;True
0000037785;FMC CORP;FMC;True
0000037808;FNB CORP/PA/;FNB;True
0000037996;FORD MOTOR CO;F-PD;True
0000038009;FORD MOTOR CREDIT CO LLC;;False
0000038067;FOREST CITY ENTERPRISES INC;;False
0000038074;FOREST LABORATORIES INC;;True
0000038079;SABINE OIL & GAS CORP;;False
0000038264;"Forward Industries, Inc.";FWDI;True
0000038723;1st FRANKLIN FINANCIAL CORP;;False
0000038725;FRANKLIN ELECTRIC CO INC;FELE;True
0000038777;FRANKLIN RESOURCES INC;BEN;True
0000038824;FRAWLEY CORP;;False
0000038984;"Real Industry, Inc.";;True
0000039020;FREQUENCY ELECTRONICS INC;FEIM;True
0000039047;FRISCHS RESTAURANTS INC;;True
0000039092;FRIEDMAN INDUSTRIES INC;FRD;True
0000039263;"CULLEN/FROST BANKERS, INC.";CFR-PB;True
0000039273;FROZEN FOOD EXPRESS INDUSTRIES INC;;True
0000039311;INDEPENDENT BANK CORP /MI/;IBCP;True
0000039368;FULLER H B CO;FUL;True
0000039648;G&K SERVICES INC;;True
0000039677;"AV Homes, Inc.";;True
0000039899;TEGNA INC;TGNA;True
0000039911;GAP INC;GAP;True
0000040194;GATEWAY ENERGY CORP/NE;;False
0000040211;GATX CORP;GATX;True
0000040518;GENERAL DATACOMM INDUSTRIES INC;;False
0000040528;"MedClean Technologies, Inc.";;False
0000040533;GENERAL DYNAMICS CORP;GD;True
0000040545;GENERAL ELECTRIC CO;GE;True
0000040554;GENERAL ELECTRIC CAPITAL CORP;;False
0000040570;GEE Group Inc.;JOB;True
0000040704;GENERAL MILLS INC;GIS;True
0000040729;Ally Financial Inc.;ALLY;True
0000040730;Motors Liquidation Co;;False
0000040888;"AEROJET ROCKETDYNE HOLDINGS, INC.";;True
0000040987;GENUINE PARTS CO;GPC;True
0000041023;GEORESOURCES INC;;True
0000041091;GEORGIA POWER CO;GPJA;False
0000041133;GERBER SCIENTIFIC INC;;True
0000041719;Glatfelter Corp;MAGN;False
0000042136;"Chang-On International, Inc.";;False
0000042228;GOLDEN ENTERPRISES INC;;True
0000042284;WHITEMARK HOMES INC;;False
0000042316;GOLDFIELD CORP;;True
0000042542;GOODRICH CORP;;True
0000042582;GOODYEAR TIRE & RUBBER CO /OH/;GT;True
0000042682;GORMAN RUPP CO;GRC;True
0000042888;GRACO INC;GGG;True
0000043196;GRAY TELEVISION INC;GTN-A;True
0000043300;GREAT ATLANTIC & PACIFIC TEA CO INC;;True
0000043350;Gas Natural Inc.;;True
0000043410;GREAT NORTHERN IRON ORE PROPERTIES;;True
0000043920;"GREIF, INC";GEF-B;True
0000044545;GULF POWER CO;;False
0000044570;"ENTERGY GULF STATES LOUISIANA, LLC";;False
0000044689;GYRODYNE CO OF AMERICA INC;;False
0000045012;HALLIBURTON CO;HAL;True
0000045621;AMEXDRUG CORP;;False
0000045876;HARSCO CORP;NVRI;True
0000045919;HARTE HANKS INC;HHS;True
0000045947;TALCOTT RESOLUTION LIFE INSURANCE CO;;False
0000046080;"HASBRO, INC.";HAS;True
0000046129;ALLIED MOTION TECHNOLOGIES INC;ALNT;True
0000046195;BANK OF HAWAII CORP;BOH-PB;True
0000046207;HAWAIIAN ELECTRIC CO INC;;False
0000046250;HAWKINS INC;HWKN;True
0000046619;HEICO CORP;HEI-A;True
0000046640;HEINZ H J CO;;False
0000046765;"Helmerich & Payne, Inc.";HP;True
0000047035;HERLEY INDUSTRIES INC /NEW;;True
0000047111;HERSHEY CO;HSY;True
0000047129;HERTZ CORP;;False
0000047217;HP INC;HPQ;True
0000047307;CRAWFORD UNITED Corp;CRAWA;False
0000047518;"Hill-Rom Holdings, Inc.";;True
0000048039;HollyFrontier Corp;;False
0000048287;HNI CORP;HNI;True
0000048465;HORMEL FOODS CORP /DE/;HRL;True
0000048732;CENTERPOINT ENERGY HOUSTON ELECTRIC LLC;;False
0000048898;HUBBELL INC;HUBB;True
0000049071;HUMANA INC;HUM;True
0000049196;HUNTINGTON BANCSHARES INC /MD/;HBANL;True
0000049534;LIFE PARTNERS HOLDINGS INC;;True
0000049600;EASTGROUP PROPERTIES INC;EGP;True
0000049615;ID SYSTEMS INC;;False
0000049648;IDAHO POWER CO;;False
0000049728;IEC ELECTRONICS CORP;;True
0000049754;"Dine Brands Global, Inc.";DIN;True
0000049816;ILLINOIS POWER CO;;False
0000049826;ILLINOIS TOOL WORKS INC;ITW;True
0000049930;IMPERIAL INDUSTRIES INC;;False
0000049938;IMPERIAL OIL LTD;IMO;True
0000050104;ANDEAVOR;;True
0000050172;INDIANA MICHIGAN POWER CO;;False
0000050292;IEH Corp;IEHC;False
0000050471;PARK CITY GROUP INC;TRAK;True
0000050493;INGLES MARKETS INC;IMKTA;True
0000050710;"JAVELIN PHARMACEUTICALS, INC";;True
0000050725;GRIFFON CORP;GFF;True
0000050863;INTEL CORP;INTC;True
0000050957;FURNITURE BRANDS INTERNATIONAL INC;;True
0000051011;INTERDYNE CO;;False
0000051143;INTERNATIONAL BUSINESS MACHINES CORP;IBM;True
0000051253;INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;True
0000051434;INTERNATIONAL PAPER CO /NEW/;INPAP;True
0000051548;INTERNATIONAL SPEEDWAY CORP;;True
0000051644;"INTERPUBLIC GROUP OF COMPANIES, INC.";;True
0000052428;AMERIPRISE CERTIFICATE CO;;False
0000052485;INTERSTATE POWER & LIGHT CO;;False
0000052795;ANIXTER INTERNATIONAL INC;;True
0000052827;RAYONIER INC;RYN;True
0000052988;JACOBS SOLUTIONS INC.;J;True
0000053320;STRATEGIC INTERNET INVESTMENTS INC;;False
0000053456;JERSEY CENTRAL POWER & LIGHT CO;;False
0000053500;"NEW BASTION DEVELOPMENT, INC.";;False
0000053540;JILCO INDUSTRIES INC;;False
0000053669;JOHNSON CONTROLS INC;;False
0000054187;MAYS J W INC;MAYS;True
0000054381;KAMAN Corp;;True
0000054424;X-CHANGE CORP;;False
0000054441;FURMANITE CORP;;True
0000054473;KANSAS CITY LIFE INSURANCE CO;;True
0000054476;"EVERGY METRO, INC.";;False
0000054480;KANSAS CITY SOUTHERN;;True
0000054502;"KINDER MORGAN, INC.";;False
0000054507;"EVERGY KANSAS CENTRAL, INC.";;False
0000054681;KATY INDUSTRIES INC;;False
0000054991;KEITHLEY INSTRUMENTS INC;;True
0000055067;KELLOGG CO;;True
0000055135;KELLY SERVICES INC;KELYB;True
0000055234;KENILWORTH SYSTEMS CORP;GAMG;False
0000055242;KENNAMETAL INC;KMT;True
0000055362;Investors Heritage Capital Corp;;False
0000055387;KENTUCKY UTILITIES CO;;False
0000055529;KEWAUNEE SCIENTIFIC CORP /DE/;KEQU;True
0000055604;KEYSTONE CONSOLIDATED INDUSTRIES INC;;False
0000055772;KIMBALL INTERNATIONAL INC;;True
0000055785;KIMBERLY CLARK CORP;KMB;True
0000055805;NORTH AMERICAN GALVANIZING & COATINGS INC;;True
0000056047;KIRBY CORP;KEX;True
0000056679;KORN FERRY;KFY;True
0000056701;KOSS CORP;KOSS;True
0000056868;PRIMEENERGY RESOURCES CORP;PNRG;True
0000056873;KROGER CO;KR;True
0000056978;KULICKE & SOFFA INDUSTRIES INC;KLIC;True
0000057055;KV PHARMACEUTICAL CO /DE/;;True
0000057131;LA-Z-BOY INC;LZB;True
0000057139;LABARGE INC;;True
0000057183;SPIRE MISSOURI INC;;False
0000057515;LANCASTER COLONY CORP;MZTI;True
0000057528;"SNYDER'S-LANCE, INC.";;True
0000057725;LANNETT CO INC;;True
0000058361;"LEE ENTERPRISES, Inc";LEE;True
0000058492;LEGGETT & PLATT INC;LEG;True
0000058592;4Licensing Corp;;False
0000058822;LESCARDEN INC;;False
0000059255;VALHI INC /DE/;VHI;True
0000059440;VECTOR GROUP LTD;;True
0000059478;ELI LILLY & Co;LLY;True
0000059527;LINCOLN ELECTRIC HOLDINGS INC;LECO;True
0000059558;LINCOLN NATIONAL CORP;LNC-PD;True
0000059860;GOLDRICH MINING CO;;False
0000060086;LOEWS CORP;L;True
0000060519;LOUISIANA-PACIFIC CORP;LPX;True
0000060549;LOUISVILLE GAS & ELECTRIC CO /KY/;;False
0000060667;LOWES COMPANIES INC;LOW;True
0000060714;"LSB INDUSTRIES, INC.";LXU;True
0000060751;LUBRIZOL Corp;;True
0000060849;LUFKIN INDUSTRIES INC;;True
0000060876;CYBEX INTERNATIONAL INC;;True
0000060977;LYDALL INC /DE/;;True
0000061004;LGL GROUP INC;LGL;True
0000061339;MADISON GAS & ELECTRIC CO;;False
0000061398;TELLURIAN INC. /DE/;;True
0000061478;ADC TELECOMMUNICATIONS INC;;True
0000061986;MANITOWOC CO INC;MTW;True
0000062234;MARCUS CORP;MCS;True
0000062362;MARINE PETROLEUM TRUST;MARPS;True
0000062709;"MARSH & MCLENNAN COMPANIES, INC.";MRSH;True
0000062996;MASCO CORP /DE/;MAS;True
0000063276;MATTEL INC /DE/;MAT;True
0000063296;MATTHEWS INTERNATIONAL CORP;MATW;True
0000063330;MAUI LAND & PINEAPPLE CO INC;MLP;True
0000063754;MCCORMICK & CO INC;MKC-V;True
0000063908;MCDONALDS CORP;MCD;True
0000064040;S&P Global Inc.;SPGI;True
0000064279;MCMORAN EXPLORATION CO /DE/;;True
0000064463;"Soluna Holdings, Inc";SLNHP;True
0000064472;GENCOR INDUSTRIES INC;GENC;True
0000064647;"SensiVida Medical Technologies, Inc.";;False
0000064670;MEDTRONIC INC;;False
0000064803;CVS HEALTH Corp;CVS;True
0000064978;MERCK SHARP & DOHME CORP.;;False
0000064996;MERCURY GENERAL CORP;MCY;True
0000065011;MEREDITH CORP;;True
0000065100;"MERRILL LYNCH & CO., INC.";;False
0000065172;MESABI TRUST;MSB;True
0000065201;MET PRO CORP;;True
0000065224;HuntMountain Resources;;False
0000065270;METHODE ELECTRONICS INC;MEI;True
0000065312;"EVI INDUSTRIES, INC.";EVI;True
0000065350;METROPOLITAN EDISON CO;;False
0000065358;UNITED CAPITAL CORP /DE/;;True
0000065596;SIEBERT FINANCIAL CORP;SIEB;True
0000065759;MICROPAC INDUSTRIES INC;;False
0000065770;"MICROVISION, INC.";MVIS;True
0000065984;ENTERGY CORP /DE/;ETR;True
0000066004;MIDDLESEX WATER CO;MSEXP;True
0000066382;"MILLERKNOLL, INC.";MLKN;True
0000066388;MILLER INDUSTRIES INC;;False
0000066418;MEXCO ENERGY CORP;MXC;True
0000066479;MILLIPORE CORP /MA;;True
0000066496;MILLS MUSIC TRUST;MMTRS;False
0000066570;MSA Safety Inc;MNESP;True
0000066600;"Quad M Solutions, Inc.";;False
0000066649;MINES MANAGEMENT INC;;True
0000066740;3M CO;MMM;True
0000066756;ALLETE INC;;True
0000066901;"ENTERGY MISSISSIPPI, LLC";EMP;False
0000066904;MISSISSIPPI POWER CO;;False
0000067215;DYCOM INDUSTRIES INC;DY;True
0000067279;MOCON INC;;True
0000067347;MODINE MANUFACTURING CO;MOD;True
0000067472;MOLEX INC;;True
0000067517;MONARCH CEMENT CO;;False
0000067625;MONMOUTH REAL ESTATE INVESTMENT CORP;;True
0000067716;MDU RESOURCES GROUP INC;MDU;True
0000067887;MOOG INC.;MOG-B;True
0000068145;MORGANS FOODS INC;;False
0000068270;RUBY TUESDAY INC;;True
0000068505;"Motorola Solutions, Inc.";MSI;True
0000068589;QUESTAR GAS CO;;False
